"subjectid","CHARGAME","TASK1SCORE","TASK2PRECONFIDENCE","TASK2TOURNAMENT"
573,2,11,67,1
518,1,10,25,0
461,2,17,30,0
688,1,11,30,0
487,2,12,35,0
210,1,28,80,1
109,1,9,40,0
803,2,14,75,1
480,2,15,75,0
787,2,12,30,0
1,2,13,25,0
490,1,12,50,0
189,2,10,32,0
562,2,11,80,0
227,2,9,50,0
323,1,16,70,0
882,1,15,66,0
383,2,6,25,0
710,2,13,68,1
334,2,15,65,1
709,1,8,73,1
353,1,12,55,0
761,2,9,40,0
106,2,10,28,1
568,1,14,0,0
315,2,9,50,0
590,2,14,80,0
608,1,18,35,1
1036,2,12,75,1
615,2,13,25,1
817,1,16,75,1
620,1,12,25,0
713,2,8,75,1
1004,1,17,66,1
641,1,17,73,1
548,2,10,50,1
752,1,10,25,0
192,2,12,50,0
775,1,11,20,0
694,2,7,50,0
396,2,15,17,0
676,1,20,70,1
406,2,10,63,0
368,1,13,25,0
730,1,17,50,1
260,1,21,90,1
57,2,12,20,0
727,2,11,1,0
31,2,7,50,0
509,1,18,80,1
246,1,13,50,0
424,1,13,40,0
532,2,10,67,1
10,1,21,70,0
1048,1,18,65,0
745,1,11,45,0
909,1,10,25,0
1046,2,15,80,1
750,1,15,5,0
528,1,14,70,0
705,1,17,70,1
753,2,17,70,1
1051,2,16,85,1
172,2,17,74,1
1017,2,10,40,1
627,2,9,40,0
470,2,15,95,1
767,1,13,20,0
533,1,10,40,0
186,2,12,35,0
621,2,14,50,1
191,1,12,70,1
84,1,10,15,0
695,2,15,50,0
681,1,14,50,1
319,1,13,50,0
684,1,9,59,0
632,2,3,60,0
744,2,10,25,0
658,1,14,75,0
822,2,15,60,0
483,1,13,25,0
737,1,16,65,0
770,2,9,55,1
399,2,11,10,0
557,1,18,77,1
768,2,9,33,0
592,2,11,35,1
696,1,17,70,0
636,2,14,90,1
722,1,19,50,0
549,1,15,65,1
820,1,11,40,0
683,2,10,5,1
739,2,6,40,0
708,2,12,60,1
536,1,18,50,0
547,1,15,25,0
749,2,11,28,0
576,1,21,40,0
216,2,15,63,1
806,1,16,50,0
420,1,18,50,1
517,2,12,25,0
766,2,13,75,0
612,2,16,90,1
625,1,11,25,0
523,2,10,60,1
646,1,15,50,0
819,2,9,75,0
668,1,8,50,0
294,1,15,30,0
544,2,12,45,1
506,2,6,40,0
142,2,15,65,0
786,1,15,25,0
354,2,11,48,0
432,2,10,27,0
530,2,12,35,0
634,1,13,86,0
661,1,12,42,0
595,2,13,62,0
825,2,13,50,0
609,2,4,51,1
742,2,12,35,1
449,1,11,20,1
459,2,11,40,1
798,1,15,61,0
699,2,13,80,1
763,1,21,54,1
788,1,21,66,0
390,2,5,5,0
656,1,20,90,1
524,2,14,65,1
271,1,2,24,1
308,1,17,70,0
531,1,15,65,1
160,2,11,58,0
789,2,15,75,1
748,1,17,60,1
139,2,17,55,0
1002,2,12,25,0
58,1,14,30,0
287,2,10,39,0
1055,1,14,50,0
143,1,18,30,0
